t,x1,y1,x2,y2,x3,y3
0.80,0.51597962910197769926,0.36408432607161456129,0.05923391660415173315,-0.63505929890318313369,-0.57723278970198987903,0.26742692203103435311
0.85,0.53046849217708147428,0.32639747198741592138,0.01858218453871007814,-0.62130116800780466058,-0.55107364963419713799,0.29559012716565818968
0.90,0.53784499361315674104,0.27958254206450494639,-0.02592982705655961020,-0.60927644286159432507,-0.51384920762150210205,0.32792577835928726770
0.95,0.54738740709989608391,0.23545868930278446296,-0.07198060495930250213,-0.59001935294304519442,-0.47537814176914233721,0.35936713613947518509
1.00,0.54994738996379166629,0.18336098150884161395,-0.12182191305366679712,-0.57079936462375657769,-0.43876903163182634504,0.38413567001913245802
1.05,0.55302957250941209288,0.13685069098374999519,-0.15836306386512713495,-0.53825507299336827760,-0.39178480469126325536,0.40668712236031445695
1.10,0.54150440745228334283,0.08072007465476742361,-0.19773506936528126299,-0.51611311577871010758,-0.34933376717729086591,0.42729250157223691575
1.15,0.53045870177461995620,0.03658045989013685578,-0.23613949945792950258,-0.47674005366936850203,-0.28976138250833111121,0.44661747083003638936
1.20,0.52196210844496726544,-0.01730663519521157684,-0.27133509940599515042,-0.43958464295148191869,-0.24306112785295191925,0.45876449908614480577
1.25,0.49797109790418997433,-0.06822791615981911584,-0.30741409536360159160,-0.39559543576675848531,-0.18516243372677718138,0.46579806765726067264
1.30,0.46992606644960738249,-0.12350196306163854776,-0.33890949840925010950,-0.34677379879212161251,-0.12941017106552968330,0.47105810990364677115
1.35,0.43710884445988523739,-0.17036908249924739844,-0.36965938146478616311,-0.29062039912834319866,-0.06715724869508822581,0.46103195080148645646
1.40,0.40033595917547515342,-0.21573589981569338270,-0.38953482432010849701,-0.23653652383029652451,-0.01765861198395041881,0.45404517673053607085
1.45,0.35315542340789995990,-0.25901466024134794930,-0.39869610484804496320,-0.17852181734732003315,0.05115092322581277218,0.43524889706730990335
1.50,0.30426553927587390858,-0.29915078639754516532,-0.41199794661982902522,-0.11178734198743685291,0.10878018887696129513,0.41367868352672892973
1.55,0.24901250996836574170,-0.33156294853018541957,-0.41170627715785462764,-0.04992953946871046822,0.16208859979731349288,0.38287362106609112988
1.60,0.18944071649800292567,-0.36173020751793139027,-0.40645541528688083899,0.02083522233271232690,0.21649929517553234692,0.33851951303391042414
1.65,0.12343600954755366839,-0.37872278852354229750,-0.38745393842040065646,0.08063649240733924972,0.26808806634323117946,0.29694876126678754202
1.70,0.05337916871041887418,-0.38601413242533061387,-0.36749349253390090064,0.14487012153057388097,0.31163314256506846611,0.24430455227361147497
1.75,-0.01467970311878695477,-0.38946849498630720099,-0.33256063019799636526,0.21012767528700801445,0.34650233736296864873,0.18408898139428439555
1.80,-0.08194058044332505619,-0.38218989083659776762,-0.29476825337736822785,0.26787239717366928549,0.37365114076542477184,0.11805240612897922869
1.85,-0.15515923223498681582,-0.36457500851575763701,-0.24272434311306589905,0.31839411174498416512,0.39525954496477289091,0.05544187420287576690
1.90,-0.21812033945271869229,-0.34293567645048622650,-0.19003006796841737103,0.35156988164565627919,0.40374062383983261304,-0.01338306160595742651
1.95,-0.27076039258114120711,-0.31237514793091664123,-0.13310971039163557728,0.39133365572503592267,0.40465595567680362477,-0.08263810580016428542
2.00,-0.31958366616310240893,-0.27010091131459651459,-0.07085198752220484009,0.41678637456368444747,0.39165896102556607694,-0.14536862655841131797
2.05,-0.37219435905444625545,-0.22714719588857254506,-0.01016564486160357120,0.42951404688161876066,0.38201538702805037939,-0.20758553627086578919
2.10,-0.41033113589895475748,-0.17992778839498158039,0.05456075935200423166,0.44015196701298953119,0.35709282388809154840,-0.27334026172908593155
2.15,-0.44265794750125353474,-0.12684234421498594148,0.11388838455446041731,0.44664493068545402243,0.32933701891992767097,-0.32374264340363234638
2.20,-0.47569774747205062493,-0.07368120199356020805,0.17723167474129267185,0.44080828446015063449,0.29900017441934412243,-0.36849826673361435470
2.25,-0.49384277332830750495,-0.01113073375682600841,0.22915372209738804621,0.43493923138808404660,0.25959434663780545094,-0.41647062979613336253
2.30,-0.50656955107221834922,0.03461365761933599128,0.28534041589058656285,0.41651572891573535040,0.22226040958398443625,-0.46062705144163845761
2.35,-0.51519044229221855336,0.09419816141345574434,0.33743097976453867437,0.40189876444807398626,0.17936548770691124188,-0.49096824489515583645
2.40,-0.52016299365451335035,0.14379993038054827981,0.38404561083899740881,0.37103734803029458922,0.13954861798993722921,-0.52737095947405654428
2.45,-0.51830401301646911172,0.19342212937196462397,0.42793348070149639373,0.35421648242858877476,0.08737099060923332605,-0.54774006723102341976
2.50,-0.51483527661732886305,0.24388285121661640309,0.47115558846858401898,0.31860305490683138441,0.04586426343956671176,-0.56933074374264713846
2.55,-0.50486107080713404915,0.29310156474783571889,0.50644727843831049974,0.29197274015050500573,-0.00160055860981913548,-0.58341084208268978450
2.60,-0.49162676185680892482,0.34006539549080266882,0.54135840598966167292,0.25389483085965686149,-0.04230704541345681885,-0.59339637905294040365
2.65,-0.47139302958177065062,0.38711565005696407793,0.57160599769956865757,0.21631341185642674607,-0.09467939032830278989,-0.60408624053617387961
2.70,-0.45809047220870263706,0.42293939432019589386,0.59819785298173722143,0.18239262571165407167,-0.14017256680585701845,-0.60902071769799215328
2.75,-0.43255102141664408810,0.46331021391162696688,0.61888576228261382717,0.14507007421242831824,-0.18260737298476792390,-0.61113154939767233564
2.80,-0.41062991806541815354,0.50164774998316230548,0.63674269059080079725,0.11259594041284685939,-0.22892378514933670042,-0.61081338949676389216
2.85,-0.38582129753983018805,0.53691966853028161299,0.65465808611605535994,0.06758206040561846872,-0.26861224599403565882,-0.59611551497760606466
2.90,-0.35570259777292001502,0.56282807768857368025,0.66585721195370972669,0.02674802993386589389,-0.30480140151733309262,-0.59404656312511505689
2.95,-0.32650019375842925795,0.59590180820179328158,0.67662065843661534092,-0.01272246560454485392,-0.35114219195815948860,-0.57780913699904723480
3.00,-0.29150952715678579708,0.61977596748082997014,0.68428720344118354468,-0.05369655444094200564,-0.39100429189328289592,-0.56794152791854024542
3.05,-0.25999999958967673352,0.64068443747209435912,0.69006255064327737259,-0.09624951256019161072,-0.42229817734073160640,-0.54846446171023299776
3.10,-0.22429852806244229835,0.66155482833588519220,0.68621383357715637352,-0.12678319256889658551,-0.46065041859791439061,-0.52872627955751849704
3.15,-0.19393725446338333507,0.67957744434496059061,0.68347108189819250068,-0.17370349975358409522,-0.48909080480257749457,-0.51357583367853043566
3.20,-0.16062758092767229212,0.69220948786757408033,0.68016573913536082507,-0.21160645333794314560,-0.52712969179494362226,-0.48652441845234484230
3.25,-0.11888969967447597653,0.70802678723245615622,0.67233938101726298253,-0.25131817448947807447,-0.55359178691379096193,-0.45581694504172926008
3.30,-0.08535832915415474120,0.71606860561604201987,0.66489680943242335243,-0.28631962038586356023,-0.57504512517115147219,-0.43400972731993608944
3.35,-0.05291743253173493422,0.71812470604277622854,0.64903863753336210607,-0.31667542719364566439,-0.60278355050108489710,-0.40391693598123146192
3.40,-0.00916452781162996680,0.72052139034694995257,0.63259532411112817663,-0.35747788652266593301,-0.62224240039658063051,-0.36705672196917538130
3.45,0.03151622928806179641,0.72564114206533036899,0.61351215070231968074,-0.38629827318455478569,-0.64750028952694782536,-0.34005225913662939785
